id,name,price,brand,subBrand,km,fuel,transmission_name,city,year
1978,Bmw,10000,Bmw,3er Serie E30 Limousine,200000,Benzin verbleit,Manual,,1987
1953,Astra 1.6 CDTi eF Active,7900,Opel,ASTRA J DIESEL 4 Türen/portes,250.000,Diesel,Manual,,2014
1878,Renault,5500,Renault,SCENIC II (MEGANE) Mod. 2007-,230000,Diesel,Manual,,2009
1738,Golf 2.0 TDI GTD,14500,Vw,GOLF VII DIESEL,340000,Diesel,Automatic,,2014
1667,SQ8 50 TDI quattro,79000,Audi,Q8/SQ8/RSQ8,177169,Diesel,Automatic,,2021
1651,Polo 1.4 TDI BMT Comfort,9700,Vw,POLO DIESEL,190000,Diesel,Automatic,,2016
1621,A3 2.0 TDI Design,32000,Audi,A3 SPORTBACK DIESEL,77000,Diesel,Automatic,,2020
1609,Passat 1.6TDI BMT Trend,9500,Vw,PASSAT DIESEL,320000,Diesel,Automatic,,2014
1576,A4 2.0 TDI,22000,Audi,A4,190000,Diesel,Automatic,,2016
1500,B 200 CDI Urban,15800,Mercedes-benz,B-KLASSE DIESEL W242/246 Mod. 2015-,236000,Diesel,Automatic,,2018
1475,C 43 AMG 4Matic,37900,Mercedes-benz,C-KLASSE LIM. BENZIN W205 Mod.2014-,140000,Benzin bleifrei,Automatic,,2016
1436,Golf 2.0 TDI Comfort 4M,14900,Vw,GOLF VII VARIANT DIESEL,205000,Diesel,Automatic,,2018
1291,Bmw,18900,Bmw,X1 F48 MY 2015-,175000,Diesel,Automatic,,2017
1277,Golf 1.6 TDI BlueM Trend,9800,Vw,GOLF VI DIESEL,265000,Diesel,Manual,,2011
1190,Q5 SB 40TDI Bl Ed quattro,55000,Audi,Q5/SQ5 SPORTBACK DIESEL,80000,Diesel,Automatic,,2021
1098,Golf 1.6 TDI Comfort,17500,Vw,GOLF VII VARIANT DIESEL,190324,Diesel,Manual,,2019
